Community Name,Category,Crime Count,Date
BRENTWOOD,Assault (Non-domestic),1,1/1/2017 0:00
BRENTWOOD,Break & Enter - Commercial,4,1/1/2017 0:00
BRENTWOOD,Break & Enter - Other Premises,2,1/1/2017 0:00
BRENTWOOD,Commercial Robbery,2,1/1/2017 0:00
BRENTWOOD,Theft FROM Vehicle,7,1/1/2017 0:00
BRENTWOOD,Theft OF Vehicle,4,1/1/2017 0:00
BRENTWOOD,Violence Other (Non-domestic),1,1/1/2017 0:00
BRIDGELAND/RIVERSIDE,Assault (Non-domestic),3,1/1/2017 0:00
BRIDGELAND/RIVERSIDE,Break & Enter - Commercial,8,1/1/2017 0:00
BRIDGELAND/RIVERSIDE,Break & Enter - Dwelling,1,1/1/2017 0:00
BRIDGELAND/RIVERSIDE,Break & Enter - Other Premises,1,1/1/2017 0:00
BRIDGELAND/RIVERSIDE,Theft FROM Vehicle,16,1/1/2017 0:00
BRIDGELAND/RIVERSIDE,Theft OF Vehicle,4,1/1/2017 0:00
BRIDGELAND/RIVERSIDE,Violence Other (Non-domestic),1,1/1/2017 0:00
BRIDLEWOOD,Break & Enter - Other Premises,1,1/1/2017 0:00
BRIDLEWOOD,Theft FROM Vehicle,2,1/1/2017 0:00
BRIDLEWOOD,Theft OF Vehicle,3,1/1/2017 0:00
BRIDLEWOOD,Violence Other (Non-domestic),1,1/1/2017 0:00
BRITANNIA,Assault (Non-domestic),1,1/1/2017 0:00
BRITANNIA,Theft OF Vehicle,1,1/1/2017 0:00
BURNS INDUSTRIAL,Break & Enter - Commercial,1,1/1/2017 0:00
BURNS INDUSTRIAL,Theft FROM Vehicle,5,1/1/2017 0:00
BURNS INDUSTRIAL,Theft OF Vehicle,1,1/1/2017 0:00
CALGARY INTERNATIONAL AIRPORT,Assault (Non-domestic),4,1/1/2017 0:00
CALGARY INTERNATIONAL AIRPORT,Break & Enter - Commercial,1,1/1/2017 0:00
CALGARY INTERNATIONAL AIRPORT,Theft OF Vehicle,3,1/1/2017 0:00
